site_id,sample_id,cluster,town,type_of_sampling,visit,date_sampling,singleplex,spc,hf183,s_typhi,site_name,flow_speed,depth_of_wastewater_sewage,width_of_wastewater_sewage,deploy_duration,not_recovered,water_quality,calibrate,temp,orp,p_h,do,ec,ssg,tds,sal
AGO161-02,AGO161-02-S4,AGO161,AGOGO,Moore Swab,4,2022-11-17T00:00:00Z,2,25.54,32.95,0,Atta-Akwaa house,2,1,1,24,1,1,1,25.4,-287,7.84,1.1,3750,0,2438,1.97
AGO161-02,AGO161-02-S5,AGO161,AGOGO,Moore Swab,5,2023-01-17T00:00:00Z,2,22.76,27.53,1,Atta-Akwaa house,2,1,1,24,1,1,1,25.4,-287,7.84,1.1,3750,0,2438,1.97
AGO161-02,AGO161-02-S6,AGO161,AGOGO,Moore Swab,6,2023-02-02T00:00:00Z,2,23.97,0,0,Atta-Akwaa house,2,1,1,24,1,1,1,25.4,-287,7.84,1.1,3750,0,2438,1.97
AGO165-31,AGO165-31-G1,AGO165,AGOGO,Grab,1,2022-07-28T00:00:00Z,2,22.84,0,0,Provision shop opp Astroturf,2,1,1,24,1,1,1,36.7,-107.6,7.6,1.6,2071,0,1347,1.04
AGO165-31,AGO165-31-S2,AGO165,AGOGO,Grab,2,2022-08-12T00:00:00Z,2,24.22,37.13,0,Provision shop opp Astroturf,2,1,1,24,1,1,1,36.7,-107.6,7.6,1.6,2071,0,1347,1.04
AGO165-31,AGO165-31-G3,AGO165,AGOGO,Grab,3,2022-10-06T00:00:00Z,2,24.09,0,0,Provision shop opp Astroturf,2,1,1,24,1,1,1,36.7,-107.6,7.6,1.6,2071,0,1347,1.04
AGO165-31,AGO165-31-G4,AGO165,AGOGO,Grab,4,2022-11-03T00:00:00Z,2,23.98,37.24,0,Provision shop opp Astroturf,2,1,1,24,1,1,1,36.7,-107.6,7.6,1.6,2071,0,1347,1.04
AGO165-31,AGO165-31-G5,AGO165,AGOGO,Grab,5,2023-01-17T00:00:00Z,2,22.44,37.82,0,Provision shop opp Astroturf,2,1,1,24,1,1,1,36.7,-107.6,7.6,1.6,2071,0,1347,1.04
AGO165-31,AGO165-31-G6,AGO165,AGOGO,Grab,6,2023-02-01T00:00:00Z,2,19.3,0,0,Provision shop opp Astroturf,2,1,1,24,1,1,1,36.7,-107.6,7.6,1.6,2071,0,1347,1.04
AGO165-31,AGO165-31-S1,AGO165,AGOGO,Moore Swab,1,2022-07-28T00:00:00Z,2,25.79,32.71,0,Provision shop opp Astroturf,2,1,1,24,1,1,1,36.7,-107.6,7.6,1.6,2071,0,1347,1.04
